City,Tags,State,Old_age,Young_age,link 1,Avg Expense Per Day,historical & heritage,city,pilgrimage,hill station,beach,lake & backwater,adventure / trekking,wildlife,waterfall,nature & scenic,Image Link
Sundarbans National Park,Wildlife,West Bengal,1,1,https://www.holidify.com/places/sundarban-national-park/,,0,0,0,0,0,0,0,1,0,0,https://mediaindia.eu/wp-content/uploads/2018/03/gallery_photo_sundarbans-national-park-animal1467370769.jpg
Ganga Sagar (Sagardwip),Pilgrimage,West Bengal,1,1,https://www.holidify.com/places/sagardwip/,,0,0,1,0,0,0,0,0,0,0,https://1.bp.blogspot.com/-K-Jtkvi5NCQ/Xgo4RxY-zJI/AAAAAAAAAFg/SRRBJ6aQmTo8hUARmZGlOUKcMhVBp0kJQCLcBGAsYHQ/s1600/Kapil%2BMuni%2BTemple.jpg
Sambalpur,Nature & Scenic | Wildlife | Pilgrimage,Odisha,1,1,https://www.holidify.com/places/sambalpur,,0,0,1,0,0,0,0,1,0,1,https://odishatourism.gov.in/content/dam/tourism/home/discover/attractions/temples-&-monuments/samaleswari-temple/samaleswari%20corosal1.jpg
Rourkela,Nature & Scenic | City,Odisha,1,1,https://www.holidify.com/places/rourkela,,0,1,0,0,0,0,0,0,0,1,https://odishatourism.gov.in/content/dam/tourism/home/discover/major-cities/rourkela/rourkela_gallery_hanuman_vatika.jpg
Yercaud,Hill Station,Tamil Nadu,0,1,https://www.holidify.com/places/yercaud,,0,0,0,1,0,0,0,0,0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/39/e2/a8/32-km-loop-road.jpg?w=1000&h=600&s=1
Bhedaghat,Waterfall,Madhya Pradesh,0,1,https://www.holidify.com/places/bhedaghat,,0,0,0,0,0,0,0,0,1,0,https://monomousumi.com/wp-content/uploads/Bhedhaghat-Tourism.jpg
Varkala,Nature & Scenic | Beach,Kerala,1,1,https://www.holidify.com/places/varkala,,0,0,0,0,1,0,0,0,0,1,https://upload.wikimedia.org/wikipedia/commons/0/07/Varkala_2020_Oct.jpg
Poovar,Lake & Backwater | Beach,Kerala,0,1,https://www.holidify.com/places/poovar,,0,0,0,0,1,1,0,0,0,0,https://www.keralatravelpal.com/images/poovar_island_and_backwater.jpg
Bekal,Lake & Backwater | Beach | Historical & Heritage,Kerala,1,1,https://www.holidify.com/places/bekal,,1,0,0,0,1,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/7/74/Bekal.jpg
Kollam,Lake & Backwater | Beach | Historical & Heritage | Nature & Scenic,Kerala,1,1,https://www.holidify.com/places/kollam,,1,0,0,0,1,1,0,0,0,1,https://i.pinimg.com/originals/b1/10/51/b11051108583a2a76003246ff42eac1c.jpg
